_date,count,uniques
2025-11-18,5,5
2025-11-20,1,1
2025-11-22,1,1
2025-11-24,1,1
2025-11-27,1,1
2025-11-29,13,11
2025-11-30,14,9
2025-12-01,13,11
2025-12-02,53,44
2025-12-03,16,14
2025-12-04,10,8
2025-12-05,3,3
2025-12-06,15,12
2025-12-07,13,10
2025-12-08,12,10
2025-12-09,16,14
2025-12-10,10,8
2025-12-11,19,14
2025-12-12,19,14
2025-12-13,18,14
2025-12-14,21,15
2025-12-15,103,65
2025-12-16,118,73
2025-12-17,105,60
2025-12-18,87,50
2025-12-19,79,49
2025-12-20,94,45
2025-12-21,103,58
2025-12-22,94,59
2025-12-23,90,55
2025-12-24,87,52
2025-12-25,114,53
2025-12-26,96,45
2025-12-27,111,54
2025-12-28,108,51
2025-12-29,104,52
2025-12-30,83,49
2025-12-31,81,54
2026-01-01,86,58
2026-01-02,91,61
2026-01-03,93,63
2026-01-04,76,48
2026-01-05,74,41
2026-01-06,96,59
2026-01-07,83,47
2026-01-08,60,43
2026-01-09,72,51
2026-01-10,83,62
2026-01-11,76,55
2026-01-12,90,61
2026-01-13,88,60
2026-01-14,73,58
2026-01-15,69,55
2026-01-16,66,50
2026-01-17,81,66
2026-01-18,74,58
2026-01-19,84,60
2026-01-20,84,54
2026-01-21,97,65
2026-01-22,76,54
2026-01-23,82,47
2026-01-24,92,56
2026-01-25,90,57
2026-01-26,70,43
2026-01-27,82,52
2026-01-28,92,59
2026-01-29,87,57
2026-01-30,88,57
2026-01-31,108,73
2026-02-01,96,64
2026-02-02,81,52
2026-02-03,86,55
2026-02-04,94,65
2026-02-05,92,62
2026-02-06,90,61
2026-02-07,95,63
2026-02-08,96,63
2026-02-09,81,57
2026-02-10,90,60
2026-02-11,87,59
2026-02-12,104,66
2026-02-13,94,63
2026-02-14,110,70
2026-02-15,98,66
2026-02-16,90,60
2026-02-17,108,75
2026-02-18,92,63
2026-02-19,92,64
2026-02-20,99,65
2026-02-21,102,70
2026-02-22,104,70
2026-02-23,84,58
2026-02-24,79,49
